,id,object_name,address,chain,object_type,number,street
3357,15143,C W & CHRIS FISH & SHRIMP,6512 S WESTERN AVE,False,Restaurant,2,S WESTERN AVE
3358,15144,TARGET TERRACE SOUTH BAR,800 W OLYMPIC BLVD STE A335,False,Bar,1,W OLYMPIC BLVD 
3359,15145,PRIMO BURGERS,6325 S WESTERN AVE,False,Fast Food,23,S WESTERN AVE
3360,15146,RONNIE'S DINER,12740 CULVER BLVD STE J,False,Restaurant,106,CULVER BLVD 
3361,15147,PAPA JAKE'S SUB SHOP,6333 W 3RD ST # 510,False,Restaurant,10,W 3RD ST
3362,15148,LAS PALMAS SENIOR CTR. SNACK,1820 N LAS PALMAS AVE,False,Restaurant,3,N LAS PALMAS AVE
3363,15149,CLUB NOKIA LEVEL 3 BAR,800 W OLYMPIC BLVD STE A335,False,Bar,2,W OLYMPIC BLVD 
3364,15150,PANDA EXPRESS #948,4947 EAGLE ROCK BLVD,True,Fast Food,40,EAGLE ROCK BLVD
3365,15151,MAGEE'S KITCHEN,6333 3RD ST,False,Restaurant,25,3RD ST
3366,15152,B SWEET DESSERT BAR,2005 S SAWTELLE BLVD,False,Bar,1,S SAWTELLE BLVD
3367,15153,LENZINI'S PIZZA,12740 CULVER BLVD # B,True,Pizza,22,CULVER BLVD
3368,15154,EL ANTOJITO,12730 S FIGUEROA ST STE 104-5,False,Restaurant,41,S FIGUEROA ST 
3369,15155,LA FONDA ANTIOQUENA,5125 MELROSE AVE,False,Restaurant,114,MELROSE AVE
3370,15156,PONCES BAKERY,757 S FETTERLY AVE STE #101,True,Bakery,22,S FETTERLY AVE 
3371,15157,JIMMY JOHN'S #2575,3150 WILSHIRE BLVD STE 118,True,Restaurant,29,WILSHIRE BLVD 
